lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge,sfx,cql
Vinifikation,,vinifikieren,VVINF,31,0,1,,vinifizieren,VVINF,,-ation,"[lemma=""vinifizieren"" & tag=""VVINF""] within <s/>"
Vorqualifikation,,vorqualifikieren,VVINF,35,0,1,,vorqualifizieren,VVINF,,-ation,"[lemma=""vorqualifizieren"" & tag=""VVINF""] within <s/>"
Advokatur,,advokieren,VVINF,30,0,1,,advozieren,VVINF,,-atur,"[lemma=""advozieren"" & tag=""VVINF""] within <s/>"
Applikatur,,applikieren,VVINF,5,0,1,,applizieren,VVINF,,-atur,"[lemma=""applizieren"" & tag=""VVINF""] within <s/>"
Duplikatur,,duplikieren,VVINF,1,0,1,,duplizieren,VVINF,,-atur,"[lemma=""duplizieren"" & tag=""VVINF""] within <s/>"
Judikatur,,judikieren,VVINF,112,0,1,,judizieren,VVINF,,-atur,"[lemma=""judizieren"" & tag=""VVINF""] within <s/>"
Lineatur,,lineieren,VVINF,22,0,1,,linieren,VVINF,,-atur,"[lemma=""linieren"" & tag=""VVINF""] within <s/>"
Breite,,Breit,ADJ.,11877,0,1,,breit,ADJ.,,-eA,"[lemma=""breit"" & tag=""ADJ.""] within <s/>"
Dichte,,Dicht,ADJ.,4109,0,1,,dicht,ADJ.,,-eA,"[lemma=""dicht"" & tag=""ADJ.""] within <s/>"
Dicke,,Dick,ADJ.,4730,0,1,,dick,ADJ.,,-eA,"[lemma=""dick"" & tag=""ADJ.""] within <s/>"
Ebene,,Eben,ADJ.,37868,0,1,,eben,ADJ.,,-eA,"[lemma=""eben"" & tag=""ADJ.""] within <s/>"
Enge,,Eng,ADJ.,2177,0,1,,eng,ADJ.,,-eA,"[lemma=""eng"" & tag=""ADJ.""] within <s/>"
Ferne,,Fern,ADJ.,7580,0,1,,fern,ADJ.,,-eA,"[lemma=""fern"" & tag=""ADJ.""] within <s/>"
Hitze,,Hitz,ADJ.,10694,0,1,,heiß,ADJ.,,-eA,"[lemma=""heiß"" & tag=""ADJ.""] within <s/>"
Höhe,,hoh,ADJ.,79034,0,1,,hoch,ADJ.,,-eA,"[lemma=""hoch"" & tag=""ADJ.""] within <s/>"
Reife,,Reif,ADJ.,2778,0,1,,reif,ADJ.,,-eA,"[lemma=""reif"" & tag=""ADJ.""] within <s/>"
Runde,,Rund,ADJ.,45417,0,1,,rund,ADJ.,,-eA,"[lemma=""rund"" & tag=""ADJ.""] within <s/>"
Säure,,saur,ADJ.,4322,0,1,,sauer,ADJ.,,-eA,"[lemma=""sauer"" & tag=""ADJ.""] within <s/>"
Stille,,Still,ADJ.,9693,0,1,,still,ADJ.,,-eA,"[lemma=""still"" & tag=""ADJ.""] within <s/>"
Tiefe,,Tief,ADJ.,16654,0,1,,tief,ADJ.,,-eA,"[lemma=""tief"" & tag=""ADJ.""] within <s/>"
Treue,,Treu,ADJ.,5233,0,1,,treu,ADJ.,,-eA,"[lemma=""treu"" & tag=""ADJ.""] within <s/>"
Wehe,,Weh,ADJ.,2805,0,1,,weh,ADJ.,,-eA,"[lemma=""weh"" & tag=""ADJ.""] within <s/>"
Achsel,,Achs,NN,1086,0,1,,Achse,NN,,-el,"[lemma=""Achse"" & tag=""NN""] within <s/>"
Stängel,,Stang,NN,4,0,1,,Stange,NN,,-el,"[lemma=""Stange"" & tag=""NN""] within <s/>"
Abgänger,,abgängen,VVINF,180,0,1,,abgehen,VVINF,,-er,"[lemma=""abgehen"" & tag=""VVINF""] within <s/>"
Abweichler,,abweichlen,VVINF,308,0,1,,abweichen,VVINF,,-er,"[lemma=""abweichen"" & tag=""VVINF""] within <s/>"
Anrufbeantworter,,anrufbeantworten,VVINF,1206,0,1,,beantworten,VVINF,,-er,"[lemma=""beantworten"" & tag=""VVINF""] within <s/>"
Besatzer,,besatzen,VVINF,865,0,1,,besetzen,VVINF,,-er,"[lemma=""besetzen"" & tag=""VVINF""] within <s/>"
Bildner,,Bildn,NN,58,0,1,,Bild,NN,,-er,"[lemma=""Bild"" & tag=""NN""] within <s/>"
Bürger,,Bürg,NN,61088,0,1,,Burg,NN,,-er,"[lemma=""Burg"" & tag=""NN""] within <s/>"
Durchlauferhitzer,,durchlauferhitzen,VVINF,344,0,1,,erhitzen,VVINF,,-er,"[lemma=""erhitzen"" & tag=""VVINF""] within <s/>"
Einzelgänger,,einzelgängen,VVINF,1056,0,1,,einzelgehen,VVINF,,-er,"[lemma=""einzelgehen"" & tag=""VVINF""] within <s/>"
Feinschmecker,,feinschmecken,VVINF,889,0,1,,schmecken,VVINF,,-er,"[lemma=""schmecken"" & tag=""VVINF""] within <s/>"
Frühaufsteher,,frühaufstehen,VVINF,446,0,1,,aufstehen,VVINF,,-er,"[lemma=""aufstehen"" & tag=""VVINF""] within <s/>"
Fußgänger,,fußgängen,VVINF,3729,0,1,,gehen,VVINF,,-er,"[lemma=""gehen"" & tag=""VVINF""] within <s/>"
Glöckner,,Glockn,NN,355,0,1,,Glocke,NN,,-er,"[lemma=""Glocke"" & tag=""NN""] within <s/>"
Grenzgänger,,grenzgängen,VVINF,534,0,1,,gehen,VVINF,,-er,"[lemma=""gehen"" & tag=""VVINF""] within <s/>"
Holzfäller,,holzfällen,VVINF,488,0,1,,fällen,VVINF,,-er,"[lemma=""fällen"" & tag=""VVINF""] within <s/>"
Kinogänger,,kinogängen,VVINF,251,0,1,,gehen,VVINF,,-er,"[lemma=""gehen"" & tag=""VVINF""] within <s/>"
Kreuzer,,Kreuze,NN,1085,0,1,,Kreuz,NN,,-er,"[lemma=""Kreuz"" & tag=""NN""] within <s/>"
Läufer,,läufen,VVINF,7595,0,1,,laufen,VVINF,,-er,"[lemma=""laufen"" & tag=""VVINF""] within <s/>"
Linkshänder,,Linkshand,NN,908,17,1,,Hand,NN,,-er,"[lemma=""Hand"" & tag=""NN""] within <s/>"
Lügner,,lügnen,VVINF,1548,0,1,,lügen,VVINF,,-er,"[lemma=""lügen"" & tag=""VVINF""] within <s/>"
Pförtner,,Pfortne,NN,465,0,1,,Pforte,NN,,-er,"[lemma=""Pforte"" & tag=""NN""] within <s/>"
Rechtshänder,,Rechtshand,NN,465,9,1,,Hand,NN,,-er,"[lemma=""Hand"" & tag=""NN""] within <s/>"
Redner,,rednen,VVINF,3374,0,1,,reden,VVINF,,-er,"[lemma=""reden"" & tag=""VVINF""] within <s/>"
Rentner,,Rentne,NN,5828,0,1,,Rente,NN,,-er,"[lemma=""Rente"" & tag=""NN""] within <s/>"
Ritter,,ritten,VVINF,6752,0,1,,reiten,VVINF,,-er,"[lemma=""reiten"" & tag=""VVINF""] within <s/>"
Sänger,,sängen,VVINF,14654,0,1,,singen,VVINF,,-er,"[lemma=""singen"" & tag=""VVINF""] within <s/>"
Schläger,,schlägen,VVINF,2905,0,1,,schlagen,VVINF,,-er,"[lemma=""schlagen"" & tag=""VVINF""] within <s/>"
Schriftsteller,,schriftstellen,VVINF,10759,0,1,,stellen,VVINF,,-er,"[lemma=""stellen"" & tag=""VVINF""] within <s/>"
Schuldner,,schuldnen,VVINF,5864,0,1,,schulden,VVINF,,-er,"[lemma=""schulden"" & tag=""VVINF""] within <s/>"
Söldner,,Soldn,NN,2516,0,1,,Sold,NN,,-er,"[lemma=""Sold"" & tag=""NN""] within <s/>"
Spaziergänger,,spaziergängen,VVINF,1210,0,1,,gehen,VVINF,,-er,"[lemma=""gehen"" & tag=""VVINF""] within <s/>"
Spielverderber,,spielverderben,VVINF,414,0,1,,verderben,VVINF,,-er,"[lemma=""verderben"" & tag=""VVINF""] within <s/>"
Sprachler,,Sprach,NN,8,0,1,,Sprache,NN,,-er,"[lemma=""Sprache"" & tag=""NN""] within <s/>"
Ständer,,ständen,VVINF,1416,0,1,,stehen,VVINF,,-er,"[lemma=""stehen"" & tag=""VVINF""] within <s/>"
Sünder,,Sünd,NN,2192,0,1,,Sünde,NN,,-er,"[lemma=""Sünde"" & tag=""NN""] within <s/>"
Tuer,,tuen,VVINF,313,0,1,,tun,VVINF,,-er,"[lemma=""tun"" & tag=""VVINF""] within <s/>"
Vorgänger,,vorgängen,VVINF,11596,0,1,,vorgehen,VVINF,,-er,"[lemma=""vorgehen"" & tag=""VVINF""] within <s/>"
Vorredner,,vorrednen,VVINF,2142,0,1,,vorreden,VVINF,,-er,"[lemma=""vorreden"" & tag=""VVINF""] within <s/>"
Wächter,,wächten,VVINF,3253,0,1,,wachen,VVINF,,-er,"[lemma=""wachen"" & tag=""VVINF""] within <s/>"
Warnblinker,,warnblinken,VVINF,138,0,1,,blinken,VVINF,,-er,"[lemma=""blinken"" & tag=""VVINF""] within <s/>"
Wegbereiter,,wegbereiten,VVINF,1028,0,1,,bereiten,VVINF,,-er,"[lemma=""bereiten"" & tag=""VVINF""] within <s/>"
Wiedertäufer,,wiedertaufen,VVINF,92,0,1,,taufen,VVINF,,-er,"[lemma=""taufen"" & tag=""VVINF""] within <s/>"
Zöllner,,Zolln,NN,1444,0,1,,Zoll,NN,,-er,"[lemma=""Zoll"" & tag=""NN""] within <s/>"
Blindschleiche,,blindschleichen,VVINF,196,0,1,,schleichen,VVINF,,-eV,"[lemma=""schleichen"" & tag=""VVINF""] within <s/>"
Heuschrecke,,heuschrecken,VVINF,1266,0,1,,schrecken,VVINF,,-eV,"[lemma=""schrecken"" & tag=""VVINF""] within <s/>"
Sternwarte,,sternwarten,VVINF,1549,0,1,,warten,VVINF,,-eV,"[lemma=""warten"" & tag=""VVINF""] within <s/>"
Interwette,,interwetten,VVINF,90,0,1,,wetten,VVINF,,-eV,"[lemma=""wetten"" & tag=""VVINF""] within <s/>"
Abnahme,,abnahmen,VVINF,4587,0,1,,abnehmen,VVINF,,-eV,"[lemma=""abnehmen"" & tag=""VVINF""] within <s/>"
Annahme,,annahmen,VVINF,15510,0,1,,annehmen,VVINF,,-eV,"[lemma=""annehmen"" & tag=""VVINF""] within <s/>"
Anteilnahme,,anteilnahmen,VVINF,1720,0,1,,anteilnehmen,VVINF,,-eV,"[lemma=""anteilnehmen"" & tag=""VVINF""] within <s/>"
Aufnahme,,aufnahmen,VVINF,39133,0,1,,aufnehmen,VVINF,,-eV,"[lemma=""aufnehmen"" & tag=""VVINF""] within <s/>"
Ausnahme,,ausnahmen,VVINF,30947,0,1,,ausnehmen,VVINF,,-eV,"[lemma=""ausnehmen"" & tag=""VVINF""] within <s/>"
Bezugnahme,,bezugnahmen,VVINF,1113,0,1,,bezugnehmen,VVINF,,-eV,"[lemma=""bezugnehmen"" & tag=""VVINF""] within <s/>"
Einflussnahme,,einflussnahmen,VVINF,1756,0,1,,einflussnehmen,VVINF,,-eV,"[lemma=""einflussnehmen"" & tag=""VVINF""] within <s/>"
Einnahme,,einnahmen,VVINF,17657,0,1,,einnehmen,VVINF,,-eV,"[lemma=""einnehmen"" & tag=""VVINF""] within <s/>"
Entnahme,,entnahmen,VVINF,1578,0,1,,entnehmen,VVINF,,-eV,"[lemma=""entnehmen"" & tag=""VVINF""] within <s/>"
Festnahme,,festnahmen,VVINF,1909,0,1,,festnehmen,VVINF,,-eV,"[lemma=""festnehmen"" & tag=""VVINF""] within <s/>"
Hilfe,,hilfen,VVINF,130045,0,1,,helfen,VVINF,,-eV,"[lemma=""helfen"" & tag=""VVINF""] within <s/>"
Inanspruchnahme,,inanspruchnahmen,VVINF,3421,0,1,,inanspruchnehmen,VVINF,,-eV,"[lemma=""inanspruchnehmen"" & tag=""VVINF""] within <s/>"
Inbetriebnahme,,inbetriebnahmen,VVINF,3059,0,1,,inbetriebnehmen,VVINF,,-eV,"[lemma=""inbetriebnehmen"" & tag=""VVINF""] within <s/>"
Inkaufnahme,,inkaufnahmen,VVINF,153,0,1,,inkaufnehmen,VVINF,,-eV,"[lemma=""inkaufnehmen"" & tag=""VVINF""] within <s/>"
Kenntnisnahme,,kenntnisnahmen,VVINF,664,0,1,,kenntnisnehmen,VVINF,,-eV,"[lemma=""kenntnisnehmen"" & tag=""VVINF""] within <s/>"
Mühle,,mühlen,VVINF,7205,0,1,,mahlen,VVINF,,-eV,"[lemma=""mahlen"" & tag=""VVINF""] within <s/>"
Maßnahme,,maßnahmen,VVINF,59914,0,1,,maßnehmen,VVINF,,-eV,"[lemma=""maßnehmen"" & tag=""VVINF""] within <s/>"
Mitnahme,,mitnahmen,VVINF,1665,0,1,,mitnehmen,VVINF,,-eV,"[lemma=""mitnehmen"" & tag=""VVINF""] within <s/>"
Rache,,rachen,VVINF,5042,0,1,,rächen,VVINF,,-eV,"[lemma=""rächen"" & tag=""VVINF""] within <s/>"
Insasse,,insassen,VVINF,2360,0,1,,sitzen,VVINF,,-eV,"[lemma=""sitzen"" & tag=""VVINF""] within <s/>"
Stellungnahme,,stellungnahmen,VVINF,12712,0,1,,stellungnehmen,VVINF,,-eV,"[lemma=""stellungnehmen"" & tag=""VVINF""] within <s/>"
Teilnahme,,teilnahmen,VVINF,26041,0,1,,teilnehmen,VVINF,,-eV,"[lemma=""teilnehmen"" & tag=""VVINF""] within <s/>"
Übernahme,,übernahmen,VVINF,12384,0,1,,übernehmen,VVINF,,-eV,"[lemma=""übernehmen"" & tag=""VVINF""] within <s/>"
Vorausnahme,,vorausnahmen,VVINF,6,0,1,,vorausnehmen,VVINF,,-eV,"[lemma=""vorausnehmen"" & tag=""VVINF""] within <s/>"
Vornahme,,vornahmen,VVINF,457,0,1,,vornehmen,VVINF,,-eV,"[lemma=""vornehmen"" & tag=""VVINF""] within <s/>"
Zuhilfenahme,,zuhilfenahmen,VVINF,896,0,1,,zuhilfenehmen,VVINF,,-eV,"[lemma=""zuhilfenehmen"" & tag=""VVINF""] within <s/>"
Zunahme,,zunahmen,VVINF,5517,0,1,,zunehmen,VVINF,,-eV,"[lemma=""zunehmen"" & tag=""VVINF""] within <s/>"
Angewohnheit,,angewohn,ADJ.,1115,0,1,,angewöhnt,ADJ.,,-heit,"[lemma=""angewöhnt"" & tag=""ADJ.""] within <s/>"
Anstaendigkeit,Anständigkeit,anstaendig,ADJ.,75,0,1,,anständig,ADJ.,,-heit,"[lemma=""anständig"" & tag=""ADJ.""] within <s/>"
Bosheit,,bose,ADJ.,739,0,1,,böse,ADJ.,,-heit,"[lemma=""böse"" & tag=""ADJ.""] within <s/>"
Frömmigkeit,,frömm,ADJ.,1151,0,1,,fromm,ADJ.,,-heit,"[lemma=""fromm"" & tag=""ADJ.""] within <s/>"
Gerechtigkeit,,gerechtig,ADJ.,13144,0,1,,gerecht,ADJ.,,-heit,"[lemma=""gerecht"" & tag=""ADJ.""] within <s/>"
Geschwindigkeit,,geschwindig,ADJ.,23142,0,1,,geschwind,ADJ.,,-heit,"[lemma=""geschwind"" & tag=""ADJ.""] within <s/>"
Gewohnheit,,gewohn,ADJ.,5017,0,1,,gewohnt,ADJ.,,-heit,"[lemma=""gewohnt"" & tag=""ADJ.""] within <s/>"
Hoheit,,ho,ADJ.,1142,0,1,,hoch,ADJ.,,-heit,"[lemma=""hoch"" & tag=""ADJ.""] within <s/>"
Kleinigkeit,,kleinig,ADJ.,7922,0,1,,klein,ADJ.,,-heit,"[lemma=""klein"" & tag=""ADJ.""] within <s/>"
Luftdichtigkeit,,luftdichtig,ADJ.,47,0,1,,luftdicht,ADJ.,,-heit,"[lemma=""luftdicht"" & tag=""ADJ.""] within <s/>"
Müdigkeit,,müdig,ADJ.,3294,0,1,,müde,ADJ.,,-heit,"[lemma=""müde"" & tag=""ADJ.""] within <s/>"
Neuigkeit,,neuig,ADJ.,9898,0,1,,neu,ADJ.,,-heit,"[lemma=""neu"" & tag=""ADJ.""] within <s/>"
Nichtabgeschlossenheit,,nichtabgeschlossen,ADJ.,1,3,1,,abgeschlossen,ADJ.,,-heit,"[lemma=""abgeschlossen"" & tag=""ADJ.""] within <s/>"
Nichtabstreitbarkeit,,nichtabstreitbar,ADJ.,3,0,1,,abstreitbar,ADJ.,,-heit,"[lemma=""abstreitbar"" & tag=""ADJ.""] within <s/>"
Nichterweislichkeit,,nichterweislich,ADJ.,5,0,1,,erweislich,ADJ.,,-heit,"[lemma=""erweislich"" & tag=""ADJ.""] within <s/>"
Nichtzurechenbarkeit,,nichtzurechenbar,ADJ.,0,0,1,,zurechenbar,ADJ.,,-heit,"[lemma=""zurechenbar"" & tag=""ADJ.""] within <s/>"
Reinigkeit,,reinig,ADJ.,7,0,1,,rein,ADJ.,,-heit,"[lemma=""rein"" & tag=""ADJ.""] within <s/>"
Undichtigkeit,,undichtig,ADJ.,538,4,1,,undicht,ADJ.,,-heit,"[lemma=""undicht"" & tag=""ADJ.""] within <s/>"
Vielheit,,viel,ADJ.,288,0,1,,viel,ADV,,-heit,"[lemma=""viel"" & tag=""ADV""] within <s/>"
Wenigkeit,,wenig,ADJ.,932,0,1,,wenig,ADV|PI.*,,-heit,"[lemma=""wenig"" & tag=""ADV|PI.*""] within <s/>"
Mehrheit,,mehr,ADJ.,24776,0,1,,mehr,ADV|PI.*,,-heit,"[lemma=""mehr"" & tag=""ADV|PI.*""] within <s/>"
Dreiheit,,drei,ADJ.,109,0,1,,drei,CARD,,-heit,"[lemma=""drei"" & tag=""CARD""] within <s/>"
Einheit,,ein,ADJ.,34410,0,1,,eins,CARD,,-heit,"[lemma=""eins"" & tag=""CARD""] within <s/>"
Christenheit,,christen,ADJ.,1038,0,1,,Christ,NN,,-heit,"[lemma=""Christ"" & tag=""NN""] within <s/>"
Einzelheit,,einzel,ADJ.,7101,0,1,,Einzel,NN,,-heit,"[lemma=""Einzel"" & tag=""NN""] within <s/>"
Gottheit,,gott,ADJ.,2733,0,1,,Gott,NN,,-heit,"[lemma=""Gott"" & tag=""NN""] within <s/>"
Kindheit,,kind,ADJ.,11711,0,1,,Kind,NN,,-heit,"[lemma=""Kind"" & tag=""NN""] within <s/>"
Menschheit,,mensch,ADJ.,15363,0,1,,Mensch,NN,,-heit,"[lemma=""Mensch"" & tag=""NN""] within <s/>"
Staatigkeit,,staatig,ADJ.,0,0,1,,Staat,NN,,-heit,"[lemma=""Staat"" & tag=""NN""] within <s/>"
Torheit,,tor,ADJ.,404,0,1,,Tor,NN,,-heit,"[lemma=""Tor"" & tag=""NN""] within <s/>"
Urgottheit,,urgott,ADJ.,10,0,1,,Gott,NN,,-heit,"[lemma=""Gott"" & tag=""NN""] within <s/>"
Zwistigkeit,,zwist,ADJ.,143,0,1,,Zwist,NN,,-heit,"[lemma=""Zwist"" & tag=""NN""] within <s/>"
Metamagnetismus,,Metamagnetik,NN,0,0,1,,Magnetik,NN,,-ismus,"[lemma=""Magnetik"" & tag=""NN""] within <s/>"
Altruismus,,altruisch,ADJ.,260,0,1,,altruistisch,ADJ.,,-ismus,"[lemma=""altruistisch"" & tag=""ADJ.""] within <s/>"
Anachronismus,,anachronisch,ADJ.,304,0,1,,anachronistisch,ADJ.,,-ismus,"[lemma=""anachronistisch"" & tag=""ADJ.""] within <s/>"
